system,component,station,head,crps_mean,crps_se,n_crps,n_seeds_crps,nll_mean,nll_se,n_nll,n_seeds_nll,n_censored_excl_crps,crps_paired_diff,crps_paired_se,n_seeds_paired_crps,nll_paired_diff,nll_paired_se,n_seeds_paired_nll
RefSim-V,processing,M4.2,,2.471579002697598,0.004011746710902575,170868,10,2.861460230425766,0.0014777284994000152,170868,10,0,1.6250879563543983,0.0037916368042919695,10.0,1.1047857523021019,0.0017566656727862695,10.0
RefSim-V,processing,M5,,14.972612625642489,0.03432294926940972,108425,10,4.538106617862551,0.003192959563373017,108425,10,0,0.5972518464333959,0.012716710322246989,10.0,0.06760211579044233,0.0014201723274280317,10.0
RefSim-V,processing,POOLED,,3.739119132841362,0.003942456076818428,1721584,10,3.1336846701307044,0.000920336148639844,1721584,10,0,1.836194315073525,0.0027735331716259404,10.0,1.0280007732145384,0.001042528406925115,10.0
RefSim-V,survival,M1.1,,23997.035884404173,261.3988489186989,164,10,11.723487361628822,0.0075612335334121015,174,10,10,13591.44170897765,1209.0639864952282,10.0,1.4113782233719452,0.1094037884778156,10.0
RefSim-V,survival,M1.2,,37288.41268559246,291.25393566532506,131,10,11.966454344723225,0.008251511747744073,141,10,10,20827.45432566041,1631.4821452040553,10.0,1.4519784846254302,0.08570853689781227,10.0
RefSim-V,survival,M2.1,,59598.60781484664,1017.9205842440844,54,10,11.338062505864709,0.029931367646088138,64,10,10,36765.214811989834,3381.4178837228683,10.0,1.3716054527675474,0.09972789121788464,10.0
RefSim-V,survival,M2.2,,60752.78745439934,1614.7295285282455,60,10,11.498902147383221,0.03854133447271494,70,10,10,35316.03493751724,3838.065084394234,10.0,1.316422809676474,0.10898765300889046,10.0
RefSim-V,survival,M3.1,,42412.25370587844,667.9249229896338,129,10,12.085921728109678,0.006135695933442127,139,10,10,23127.319754936063,2775.823452654878,10.0,1.3214756391474733,0.1248320899360017,10.0
RefSim-V,survival,M3.2,,36079.50062996076,845.6958848313008,106,10,11.764991719924542,0.009815023862227745,116,10,10,19596.52814526472,2355.3008365544256,10.0,1.2657411015177027,0.14316192345167678,10.0
RefSim-V,survival,M4.1,,43415.769332563556,698.4772918586636,94,10,11.789191741979547,0.007454807348682507,104,10,10,25611.283738796683,1615.4560237045957,10.0,1.4009894936948168,0.0647192617873852,10.0
