station,t_op_s,h_true
M2.2,447480.017017384,0.1562609550364988
M2.2,449993.94969725696,0.17406373144485876
M2.2,452507.8823771299,0.19389477427314517
M2.2,455021.8150570029,0.21598516347067664
M2.2,457535.7477368758,0.24059230587482533
M2.2,460049.68041674874,0.2680029346276113
M2.2,462563.6130966217,0.29853645031516896
M2.2,465077.5457764946,0.3325486427625082
M2.2,467591.47845636756,0.37043583685153486
M2.2,470105.4111362405,0.41263951067121174
M2.2,472619.3438161135,0.4596514398125558
M2.2,475133.2764959864,0.51201942775204
M2.2,477647.20917585935,0.5703536890963206
M2.2,480161.1418557323,0.6353339600686395
M2.2,482675.07453560526,0.7077174190913875
M2.2,485189.00721547817,0.7883475097589036
M2.2,487702.9398953511,0.8781637690096354
M2.2,490216.8725752241,0.978212775019803
M2.2,492730.805255097,1.0896603423881872
M2.2,495244.73793496995,1.2138051067156765
M2.2,497758.6706148429,1.3520936568729265
M2.2,500272.60329471587,1.5061373912840472
M3.1,0.0,2.86144578313253e-06
M3.1,1802.6076172031128,2.554807548060691e-06
M3.1,3605.2152344062256,2.2481693129888525e-06
M3.1,5407.822851609339,1.9415310779170135e-06
M3.1,7210.430468812451,1.634892842845175e-06
M3.1,9013.038086015564,1.328254607773336e-06
M3.1,10815.645703218677,1.0216163727014972e-06
M3.1,12618.253320421789,7.149781376296584e-07
M3.1,14420.860937624902,6.024096385542169e-07
M3.1,16223.468554828016,6.024096385542169e-07
M3.1,18026.076172031127,6.024096385542169e-07
M3.1,19828.68378923424,6.024096385542169e-07
M3.1,21631.291406437354,6.024096385542169e-07
M3.1,23433.899023640468,6.024096385542169e-07
M3.1,25236.506640843578,6.024096385542169e-07
M3.1,27039.11425804669,6.024096385542169e-07
M3.1,28841.721875249805,6.024096385542169e-07
M3.1,30644.32949245292,6.024096385542169e-07
M3.1,32446.93710965603,6.024096385542169e-07
M3.1,34249.544726859145,6.024096385542169e-07
M3.1,36052.152344062255,6.024096385542169e-07
M3.1,37854.75996126537,6.024096385542169e-07
M3.1,39657.36757846848,6.024096385542169e-07
M3.1,41459.97519567159,6.024096385542169e-07
M3.1,43262.58281287471,6.024096385542169e-07
M3.1,45065.19043007782,6.024096385542169e-07
M3.1,46867.798047280936,6.024096385542169e-07
M3.1,48670.405664484046,6.024096385542169e-07
M3.1,50473.013281687156,6.024096385542169e-07
M3.1,52275.62089889027,6.024096385542169e-07
M3.1,54078.22851609338,6.024096385542169e-07
M3.1,55880.8361332965,6.024096385542169e-07
M3.1,57683.44375049961,6.024096385542169e-07
M3.1,59486.05136770272,6.024096385542169e-07
M3.1,61288.65898490584,6.024096385542169e-07
M3.1,63091.266602108946,6.024096385542169e-07
M3.1,64893.87421931206,6.024096385542169e-07
M3.1,66696.48183651517,6.024096385542169e-07
M3.1,68499.08945371829,6.024096385542169e-07
M3.1,70301.6970709214,6.024096385542169e-07
M3.1,72104.30468812451,6.024096385542169e-07
M3.1,73906.91230532763,6.024096385542169e-07
M3.1,75709.51992253074,6.024096385542169e-07
M3.1,77512.12753973385,6.024096385542169e-07
M3.1,79314.73515693696,6.024096385542169e-07
M3.1,81117.34277414008,6.024096385542169e-07
M3.1,82919.95039134318,6.024096385542169e-07
M3.1,84722.5580085463,6.024096385542169e-07
M3.1,86525.16562574942,6.024096385542169e-07
M3.1,88327.77324295252,6.024096385542169e-07
M3.1,90130.38086015564,6.024096385542169e-07
M3.1,91932.98847735875,6.024096385542169e-07
M3.1,93735.59609456187,6.024096385542169e-07
M3.1,95538.20371176497,6.024096385542169e-07
M3.1,97340.81132896809,6.024096385542169e-07
M3.1,99143.41894617121,6.024096385542169e-07
M3.1,100946.02656337431,6.024096385542169e-07
M3.1,102748.63418057743,6.024096385542169e-07
M3.1,104551.24179778055,6.024096385542169e-07
M3.1,106353.84941498365,6.065554043177024e-07
M3.1,108156.45703218676,6.76131034597067e-07
M3.1,109959.06464938988,7.536874169962089e-07
M3.1,111761.672266593,8.401399928002674e-07
M3.1,113564.2798837961,9.365092100323379e-07
M3.1,115366.88750099922,1.043932568371259e-06
M3.1,117169.49511820234,1.1636780456954425e-06
M3.1,118972.10273540544,1.297159064733749e-06
M3.1,120774.71035260856,1.4459511764831484e-06
M3.1,122577.31796981167,1.6118106573168411e-06
